"DATE","WS_2","WS_3","YEAR"
1963-08-22,0,0,"1963"
1963-08-23,14.5,14.5,"1963"
1963-08-24,2,2,"1963"
1963-08-25,1.8,1.8,"1963"
1963-08-26,0,0,"1963"
1963-08-27,0.5,0.5,"1963"
1963-08-28,0,0,"1963"
1963-08-29,10.9,11.2,"1963"
1963-08-30,0,0,"1963"
1963-08-31,0.8,0.8,"1963"
1963-09-01,0,0,"1963"
1963-09-02,0,0,"1963"
1963-09-03,2.8,2.8,"1963"
1963-09-04,2.3,2.3,"1963"
1963-09-05,0,0,"1963"
1963-09-06,0,0,"1963"
1963-09-07,0,0,"1963"
1963-09-08,0,0,"1963"
1963-09-09,0,0,"1963"
1963-09-10,0,0,"1963"
1963-09-11,0,0,"1963"
1963-09-12,2.5,2.5,"1963"
1963-09-13,0,0,"1963"
1963-09-14,0,0,"1963"
1963-09-15,0,0,"1963"
1963-09-16,0,0,"1963"
1963-09-17,0,0,"1963"
1963-09-18,0,0,"1963"
1963-09-19,1.3,1.3,"1963"
1963-09-20,0,0,"1963"
1963-09-21,0,0,"1963"
1963-09-22,0,0,"1963"
1963-09-23,0,0,"1963"
1963-09-24,0,0,"1963"
1963-09-25,0,0,"1963"
1963-09-26,0,0,"1963"
1963-09-27,1,0.8,"1963"
1963-09-28,0,0,"1963"
1963-09-29,29.7,29.7,"1963"
1963-09-30,0,0,"1963"
1963-10-01,0,0,"1963"
1963-10-02,0,0,"1963"
1963-10-03,12.2,12.2,"1963"
1963-10-04,2,2,"1963"
1963-10-05,0,0,"1963"
1963-10-06,0,0,"1963"
1963-10-07,0,0,"1963"
1963-10-08,0,0,"1963"
1963-10-09,0,0,"1963"
1963-10-10,0,0,"1963"
1963-10-11,6.6,6.6,"1963"
1963-10-12,0,0,"1963"
1963-10-13,0,0,"1963"
1963-10-14,0,0,"1963"
1963-10-15,0,0,"1963"
1963-10-16,0,0,"1963"
1963-10-17,0,0,"1963"
1963-10-18,1,1,"1963"
1963-10-19,0,0,"1963"
1963-10-20,0,0,"1963"
1963-10-21,0,0,"1963"
1963-10-22,0,0,"1963"
1963-10-23,0,0,"1963"
1963-10-24,0,0,"1963"
1963-10-25,0,0,"1963"
1963-10-26,0,0,"1963"
1963-10-27,0,0,"1963"
1963-10-28,0,0,"1963"
1963-10-29,6.6,6.1,"1963"
1963-10-30,1.3,1.3,"1963"
1963-10-31,1.3,1.3,"1963"
1963-11-01,18.5,17.3,"1963"
1963-11-02,14.5,13.5,"1963"
1963-11-03,0.8,0.8,"1963"
1963-11-04,0,0,"1963"
1963-11-05,0,0,"1963"
1963-11-06,8.6,8.9,"1963"
1963-11-07,26.9,27.4,"1963"
1963-11-08,35.6,36.3,"1963"
1963-11-09,8.6,8.9,"1963"
1963-11-10,1.8,1.5,"1963"
1963-11-11,10.4,10.9,"1963"
1963-11-12,0.5,0.5,"1963"
1963-11-13,0,0,"1963"
1963-11-14,1.8,1.8,"1963"
1963-11-15,0.5,0.5,"1963"
1963-11-16,0.3,0.3,"1963"
1963-11-17,0,0,"1963"
1963-11-18,11.7,11.9,"1963"
1963-11-19,7.1,7.1,"1963"
1963-11-20,0.8,0.8,"1963"
1963-11-21,4.1,4.1,"1963"
1963-11-22,0,0,"1963"
1963-11-23,17,17.3,"1963"
1963-11-24,0,0,"1963"
1963-11-25,0,0,"1963"
1963-11-26,0,0,"1963"
1963-11-27,0,0,"1963"
1963-11-28,0,0,"1963"
1963-11-29,21.8,21.3,"1963"
1963-11-30,14,13.7,"1963"
1963-12-01,0,0,"1963"
1963-12-02,0,0,"1963"
1963-12-03,10.4,10.2,"1963"
1963-12-04,0.8,0.8,"1963"
1963-12-05,0,0,"1963"
1963-12-06,0,0,"1963"
1963-12-07,0,0,"1963"
1963-12-08,0,0,"1963"
1963-12-09,35.1,32,"1963"
1963-12-10,3,2.8,"1963"
1963-12-11,0.5,0.5,"1963"
1963-12-12,7.6,7.1,"1963"
1963-12-13,0,0,"1963"
1963-12-14,1.5,1.3,"1963"
1963-12-15,5.1,4.6,"1963"
1963-12-16,0,0,"1963"
1963-12-17,0,0,"1963"
1963-12-18,0,0,"1963"
1963-12-19,0,0,"1963"
1963-12-20,0,0,"1963"
1963-12-21,0,0,"1963"
1963-12-22,0,0,"1963"
1963-12-23,0,0,"1963"
1963-12-24,5.3,5.1,"1963"
1963-12-25,1.3,1.3,"1963"
1963-12-26,0,0,"1963"
1963-12-27,4.3,4.1,"1963"
1963-12-28,0,0,"1963"
1963-12-29,1.3,1.3,"1963"
1963-12-30,0.5,0.5,"1963"
1963-12-31,0,0,"1963"
1964-01-01,9.1,9.1,"1964"
1964-01-02,2.5,2.5,"1964"
1964-01-03,0,0,"1964"
1964-01-04,2.5,2.5,"1964"
1964-01-05,0,0,"1964"
1964-01-06,2,2,"1964"
1964-01-07,0,0,"1964"
1964-01-08,0,0,"1964"
1964-01-09,22.1,24.4,"1964"
1964-01-10,7.4,8.1,"1964"
1964-01-11,0,0,"1964"
